"","project_name","sys_sample_code","station","date_time","chemical_name","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","sample_date","order","station_type","flow_qual","flow_quant_cfs","load_kg_per_day"
"452","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","CHLORIDE (AS CL)","16887-00-6","t",57.2,"mg/l",0.2,"mg/l",2,"","a","",2018-08-14,6,"special_study","event",NA,NA
"453","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","CHLOROPHYLL A","479-61-8","t",2.52,"ug/l",NA,"ug/l",0.085,"","a","",2018-08-14,6,"special_study","event",NA,NA
"454","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","COPPER","7440-50-8","t",3,"ug/l",0.66,"ug/l",1,"","a","",2018-08-14,6,"special_study","event",NA,NA
"455","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","HARDNESS (AS CACO3)","hard","t",137,"mg/l",NA,"mg/l",6.62,"","a","",2018-08-14,6,"special_study","event",NA,NA
"456","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","IRON","7439-89-6","t",1640,"ug/l",13,"ug/l",100,"","a","",2018-08-14,6,"special_study","event",NA,NA
"457","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","LEAD","7439-92-1","t",1.9,"ug/l",0.067,"ug/l",1,"","a","",2018-08-14,6,"special_study","event",NA,NA
"458","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","MAGNESIUM","7439-95-4","t",12800,"ug/l",29,"ug/l",1000,"","a","",2018-08-14,6,"special_study","event",NA,NA
"459","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","NICKEL","7440-02-0","t",1.8,"ug/l",0.26,"ug/l",1,"","a","",2018-08-14,6,"special_study","event",NA,NA
"460","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",0.495,"mg/l",7e-04,"mg/l",0.002,"","a","",2018-08-14,6,"special_study","event",NA,NA
"461","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","NITROGEN","kn","t",1.33,"mg/l",NA,"mg/l",0.2,"","a","",2018-08-14,6,"special_study","event",NA,NA
"462","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",0.482,"mg/l",NA,"mg/l",0.01,"","a","",2018-08-14,6,"special_study","event",NA,NA
"463","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","NITROGEN, NITRITE","14797-65-0","t",0.013,"mg/l",0.007,"mg/l",0.01,"","a","",2018-08-14,6,"special_study","event",NA,NA
"464","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.156,"mg/l",0.01,"mg/l",0.025,"","a","",2018-08-14,6,"special_study","event",NA,NA
"465","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","SILVER","7440-22-4","t",NA,"ug/l",0.039,"ug/l",1,"u","u","analyte was analyzed for but not detected",2018-08-14,6,"special_study","event",NA,NA
"466","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",235,"mg/l",4,"mg/l",10,"","a","",2018-08-14,6,"special_study","event",NA,NA
"467","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","TURBIDITY","turb","t",17.8,"ntu",0.06,"ntu",0.1,"","a","",2018-08-14,6,"special_study","event",NA,NA
"468","wallkill special study 2018","13-poch-1.8-08142018-ws","13-poch-1.8","2018-08-14 13:45:00","ZINC","7440-66-6","t",9.5,"ug/l",2.5,"ug/l",5,"","a","",2018-08-14,6,"special_study","event",NA,NA
"469","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",161,"mg/l",1,"mg/l",2,"","a","",2018-09-05,6,"special_study","baseline",78.158,30765.2475662
"470","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","ALUMINUM","7429-90-5","t",175,"ug/l",2.3,"ug/l",10,"","a","",2018-09-05,6,"special_study","baseline",78.158,33.440486485
"471","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","ARSENIC","7440-38-2","t",1.3,"ug/l",0.39,"ug/l",1,"","a","",2018-09-05,6,"special_study","baseline",78.158,0.24841504246
"472","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.064,"ug/l",1,"u","u","analyte was analyzed for but not detected",2018-09-05,6,"special_study","baseline",78.158,NA
"473","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","CALCIUM","7440-70-2","t",48900,"ug/l",110,"ug/l",1000,"e","j","estimated value due to lab error",2018-09-05,6,"special_study","baseline",78.158,9344.22736638
"474","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","CHLOROPHYLL A","479-61-8","t",1.58,"ug/l",NA,"ug/l",0.08,"","a","",2018-09-05,6,"special_study","baseline",78.158,0.301919820836
"475","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","COPPER","7440-50-8","t",2.3,"ug/l",0.66,"ug/l",1,"","a","",2018-09-05,6,"special_study","baseline",78.158,0.43950353666
"476","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","HARDNESS (AS CACO3)","hard","t",199,"mg/l",NA,"mg/l",6.62,"","a","",2018-09-05,6,"special_study","baseline",78.158,38026.6103458
"477","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","IRON","7439-89-6","t",730,"ug/l",13,"ug/l",100,"","a","",2018-09-05,6,"special_study","baseline",78.158,139.494600766
"478","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","LEAD","7439-92-1","t",0.95,"ug/l",0.067,"ug/l",1,"j","j","estimated value due to lab error",2018-09-05,6,"special_study","baseline",78.158,0.18153406949
"479","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","MAGNESIUM","7439-95-4","t",18600,"ug/l",29,"ug/l",1000,"","a","",2018-09-05,6,"special_study","baseline",78.158,3554.24599212
"480","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NICKEL","7440-02-0","t",1.3,"ug/l",0.26,"ug/l",1,"","a","",2018-09-05,6,"special_study","baseline",78.158,0.24841504246
"481","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",0.483,"mg/l",7e-04,"mg/l",0.002,"","a","",2018-09-05,6,"special_study","baseline",78.158,92.2957426986
"482","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NITROGEN","kn","t",1.15,"mg/l",NA,"mg/l",0.1,"","j","estimated value due to equipment blank error",2018-09-05,6,"special_study","baseline",78.158,219.75176833
"483","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0483,"mg/l",8e-04,"mg/l",0.005,"","a","",2018-09-05,6,"special_study","baseline",78.158,9.22957426986
"484","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NITROGEN, KJELDAHL, TOTAL","kn","t",0.66,"mg/l",0.08,"mg/l",0.1,"","j","estimated value due to equipment blank error",2018-09-05,6,"special_study","baseline",78.158,126.118406172
"485","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",0.483,"mg/l",NA,"mg/l",0.01,"","a","",2018-09-05,6,"special_study","baseline",78.158,92.2957426986
"486","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","NITROGEN, NITRITE","14797-65-0","t",NA,"mg/l",0.007,"mg/l",0.01,"u","u","analyte was analyzed for but not detected",2018-09-05,6,"special_study","baseline",78.158,NA
"487","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.109,"mg/l",0.004,"mg/l",0.01,"","a","",2018-09-05,6,"special_study","baseline",78.158,20.8286458678
"488","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","SILVER","7440-22-4","t",NA,"ug/l",0.039,"ug/l",1,"u","u","analyte was analyzed for but not detected",2018-09-05,6,"special_study","baseline",78.158,NA
"489","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",318,"mg/l",4,"mg/l",10,"","a","",2018-09-05,6,"special_study","baseline",78.158,60766.1411556
"490","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","TURBIDITY","turb","t",10.3,"ntu",0.06,"ntu",0.1,"","a","",2018-09-05,6,"special_study","baseline",78.158,NA
"491","wallkill special study 2018","13-poch-1.8-09052018-w","13-poch-1.8","2018-09-05 15:15:00","ZINC","7440-66-6","t",5.6,"ug/l",2.5,"ug/l",5,"","a","",2018-09-05,6,"special_study","baseline",78.158,1.07009556752
"492","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",88.4,"mg/l",1,"mg/l",2,"","a","",2018-10-03,6,"special_study","event",NA,NA
"493","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","ALUMINUM","7429-90-5","t",464,"ug/l",23,"ug/l",100,"","a","",2018-10-03,6,"special_study","event",NA,NA
"494","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","ARSENIC","7440-38-2","t",1.4,"ug/l",0.39,"ug/l",1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"495","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.064,"ug/l",1,"u","u","analyte was analyzed for but not detected",2018-10-03,6,"special_study","event",NA,NA
"496","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","CALCIUM","7440-70-2","t",26900,"ug/l",110,"ug/l",1000,"","a","",2018-10-03,6,"special_study","event",NA,NA
"497","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","CHLORIDE (AS CL)","16887-00-6","t",30.5,"mg/l",0.2,"mg/l",2,"","a","",2018-10-03,6,"special_study","event",NA,NA
"498","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","CHLOROPHYLL A","479-61-8","t",1.45,"ug/l",NA,"ug/l",0.08,"","a","",2018-10-03,6,"special_study","event",NA,NA
"499","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","COPPER","7440-50-8","t",3.1,"ug/l",0.66,"ug/l",1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"500","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","HARDNESS (AS CACO3)","hard","t",105,"mg/l",NA,"mg/l",6.62,"","a","",2018-10-03,6,"special_study","event",NA,NA
"501","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","IRON","7439-89-6","t",996,"ug/l",13,"ug/l",100,"","a","",2018-10-03,6,"special_study","event",NA,NA
"502","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","LEAD","7439-92-1","t",1.2,"ug/l",0.067,"ug/l",1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"503","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","MAGNESIUM","7439-95-4","t",9230,"ug/l",29,"ug/l",1000,"","a","",2018-10-03,6,"special_study","event",NA,NA
"504","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NICKEL","7440-02-0","t",1.4,"ug/l",0.26,"ug/l",1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"505","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",0.611,"mg/l",7e-04,"mg/l",0.002,"","a","",2018-10-03,6,"special_study","event",NA,NA
"506","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NITROGEN","kn","t",1.41,"mg/l",NA,"mg/l",0.1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"507","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0297,"mg/l",8e-04,"mg/l",0.005,"","a","",2018-10-03,6,"special_study","event",NA,NA
"508","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NITROGEN, KJELDAHL, TOTAL","kn","t",0.8,"mg/l",0.08,"mg/l",0.1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"509","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",0.6,"mg/l",NA,"mg/l",0.01,"","a","",2018-10-03,6,"special_study","event",NA,NA
"510","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","NITROGEN, NITRITE","14797-65-0","t",0.011,"mg/l",0.007,"mg/l",0.01,"","a","",2018-10-03,6,"special_study","event",NA,NA
"511","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.152,"mg/l",0.01,"mg/l",0.025,"","a","",2018-10-03,6,"special_study","event",NA,NA
"512","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","SILVER","7440-22-4","t",NA,"ug/l",0.039,"ug/l",1,"u","u","analyte was analyzed for but not detected",2018-10-03,6,"special_study","event",NA,NA
"513","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",175,"mg/l",4,"mg/l",10,"","a","",2018-10-03,6,"special_study","event",NA,NA
"514","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","TURBIDITY","turb","t",8.37,"ntu",0.06,"ntu",0.1,"","a","",2018-10-03,6,"special_study","event",NA,NA
"515","wallkill special study 2018","13-poch-1.8-10032018-w","13-poch-1.8","2018-10-03 14:15:00","ZINC","7440-66-6","t",9.8,"ug/l",2.5,"ug/l",5,"","a","",2018-10-03,6,"special_study","event",NA,NA
"516","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",182,"mg/l",1,"mg/l",2,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"517","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",179,"mg/l",1,"mg/l",2,"","a","",2017-10-11,7,"special_study","event",NA,NA
"518","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","ALUMINUM","7429-90-5","t",454,"ug/l",26.9,"ug/l",100,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"519","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","ALUMINUM","7429-90-5","t",467,"ug/l",26.9,"ug/l",100,"","a","",2017-10-11,7,"special_study","event",NA,NA
"520","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","ARSENIC","7440-38-2","t",2.2,"ug/l",0.389,"ug/l",1,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"521","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","ARSENIC","7440-38-2","t",2,"ug/l",0.389,"ug/l",1,"","a","",2017-10-11,7,"special_study","event",NA,NA
"522","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-19,7,"special_study","baseline",NA,NA
"523","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-10-11,7,"special_study","event",NA,NA
"524","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","CHLORIDE (AS CL)","16887-00-6","t",90.3,"mg/l",0.2,"mg/l",2,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"525","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","CHLORIDE (AS CL)","16887-00-6","t",91.1,"mg/l",0.2,"mg/l",2,"","a","",2017-10-11,7,"special_study","event",NA,NA
"526","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","CHLOROPHYLL A","479-61-8","t",3.61,"ug/l",NA,"ug/l",0.39,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"527","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","CHLOROPHYLL A","479-61-8","t",8.68,"ug/l",NA,"ug/l",0.42,"","a","",2017-10-11,7,"special_study","event",NA,NA
"528","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",693,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"529","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",708,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-10-11,7,"special_study","event",NA,NA
"530","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","COPPER","7440-50-8","t",5.1,"ug/l",0.652,"ug/l",1,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"531","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","COPPER","7440-50-8","t",4.3,"ug/l",0.652,"ug/l",1,"","a","",2017-10-11,7,"special_study","event",NA,NA
"532","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","HARDNESS (AS CACO3)","hard","t",239,"mg/l",0.7,"mg/l",20,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"533","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","HARDNESS (AS CACO3)","hard","t",215,"mg/l",0.7,"mg/l",20,"","a","",2017-10-11,7,"special_study","event",NA,NA
"534","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","IRON","7439-89-6","t",1040,"ug/l",55.4,"ug/l",100,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"535","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","IRON","7439-89-6","t",857,"ug/l",55.4,"ug/l",100,"","a","",2017-10-11,7,"special_study","event",NA,NA
"536","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","LEAD","7439-92-1","t",1.1,"ug/l",0.405,"ug/l",1,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"537","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","LEAD","7439-92-1","t",0.869,"ug/l",0.405,"ug/l",1,"j","j","estimated value due to lab error",2017-10-11,7,"special_study","event",NA,NA
"538","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","MAGNESIUM","7439-95-4","t",18000,"ug/l",110,"ug/l",1000,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"539","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","MAGNESIUM","7439-95-4","t",17300,"ug/l",110,"ug/l",1000,"","a","",2017-10-11,7,"special_study","event",NA,NA
"540","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","NICKEL","7440-02-0","t",3.3,"ug/l",0.45,"ug/l",1,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"541","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","NICKEL","7440-02-0","t",2.7,"ug/l",0.45,"ug/l",1,"","a","",2017-10-11,7,"special_study","event",NA,NA
"542","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",1.63,"mg/l",7e-04,"mg/l",0.002,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"543","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",1.16,"mg/l",7e-04,"mg/l",0.002,"","a","",2017-10-11,7,"special_study","event",NA,NA
"544","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0949,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"545","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0958,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-10-11,7,"special_study","event",NA,NA
"546","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",1.59,"mg/l",NA,"mg/l",0.01,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"547","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",1.13,"mg/l",NA,"mg/l",0.01,"","a","",2017-10-11,7,"special_study","event",NA,NA
"548","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","NITROGEN, NITRITE","14797-65-0","t",0.04,"mg/l",0.002,"mg/l",0.01,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"549","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","NITROGEN, NITRITE","14797-65-0","t",0.029,"mg/l",0.004,"mg/l",0.01,"","a","",2017-10-11,7,"special_study","event",NA,NA
"550","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","PH","ph","t",7.82,"ph units",NA,"ph units",NA,"h","a","",2017-09-19,7,"special_study","baseline",NA,NA
"551","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","PH","ph","t",7.6,"ph units",NA,"ph units",NA,"h","a","",2017-10-11,7,"special_study","event",NA,NA
"552","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.555,"mg/l",0.02,"mg/l",0.03,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"553","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.638,"mg/l",0.02,"mg/l",0.03,"","a","",2017-10-11,7,"special_study","event",NA,NA
"554","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-19,7,"special_study","baseline",NA,NA
"555","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-10-11,7,"special_study","event",NA,NA
"556","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","TEMPERATURE OF PH ANALYSIS","temp","t",24.4,"deg c",NA,"deg c",NA,"h","a","",2017-09-19,7,"special_study","baseline",NA,NA
"557","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","TEMPERATURE OF PH ANALYSIS","temp","t",19.2,"deg c",NA,"deg c",NA,"h","a","",2017-10-11,7,"special_study","event",NA,NA
"558","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",377,"mg/l",4,"mg/l",10,"","a","",2017-10-11,7,"special_study","event",NA,NA
"559","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","TURBIDITY","turb","t",26.1,"ntu",0.06,"ntu",0.1,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"560","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","TURBIDITY","turb","t",11.9,"ntu",0.06,"ntu",0.1,"","a","",2017-10-11,7,"special_study","event",NA,NA
"561","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-09-19 10:17:00","ZINC","7440-66-6","t",8,"ug/l",3,"ug/l",5,"","a","",2017-09-19,7,"special_study","baseline",NA,NA
"562","wallkill special study 2017","13-qker-0.9","13-qker-0.9","2017-10-11 10:48:00","ZINC","7440-66-6","t",6.2,"ug/l",3,"ug/l",5,"","a","",2017-10-11,7,"special_study","event",NA,NA
"563","wallkill special study 2017","13qker-0.9","13-qker-0.9","2017-09-06 10:52:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",149,"mg/l",1,"mg/l",2,"","a","",2017-09-06,7,"special_study","event",NA,NA
"564","wallkill special study 2017","13qker-0.9","13-qker-0.9","2017-09-06 10:52:00","ALUMINUM","7429-90-5","t",404,"ug/l",26.9,"ug/l",100,"","a","",2017-09-06,7,"special_study","event",NA,NA
"565","wallkill special study 2017","13qker-0.9","13-qker-0.9","2017-09-06 10:52:00","ARSENIC","7440-38-2","t",2.4,"ug/l",0.389,"ug/l",1,"","a","",2017-09-06,7,"special_study","event",NA,NA
"566","wallkill special study 2017","13qker-0.9","13-qker-0.9","2017-09-06 10:52:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-06,7,"special_study","event",NA,NA
