"NEW_SITE","UPDATE_SITE","SITE_LOC_ID","BASIN","LOCATION","RIVMILE","FIELD_LAT","FIELD_LON","BASIN_NEW","LOCATION_NEW","DESCRIPT","COLL_DATE","ARRIVETIME","COLL_DATE_TIME","CREW","PROJECT","INFO_TYPE","habLab_ID_num","BLOOM_DESC","BLOOM_DESC_2","R_HABLAB_ID","S_HABLAB_ID","CURRENT_WEATHER","PAST_WEATHER","WATER_CHEM","qa_qc_type","SAMP_LOC","EQUIP_USED","TOX","TEMP","COND","PH","DO","PERCENT_SAT","SALINITY","PRIM_CONTACT","SEC_CONTACT","WATER_CLARITY","SUSP_PHYTOPLANKTON","PERIPHYTON","MACROPHYTE","ODOR","TRASH","DISCHARGE_PIPES","PRIM_VARIABLE","SEC_VARIABLE","NOTES","x","y"
"N","N","13-RUTG-1.5","B_13","RUTG","R_1.5",41.335792,-74.487986,NA,"","","8/14/2018","12:07:00","8/14/2018 12:07","Stoll,Other","WALLKILL","",NA,"","","","","Sun","Rain","X","","Waded","Depth_Integrated","N",21.5,237.5,7.47,8.45,96.4,0.11,"D","C",8,0,NA,2,0,1,0,"Water_Clarity","","Highest flow of all three times we’ve been here.",-74.487986,41.335792
"N","N","13-RUTG-1.5","B_13","RUTG","R_1.5",41.335792,-74.487986,NA,"","","7/24/2018","13:11:00","7/24/2018 13:11","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",22.8,369.5,7.58,7.7,90,0.18,"C","B",10,NA,NA,4,0,0,0,"Water_Clarity","","",-74.487986,41.335792
"N","N","13-RUTG-1.5","B_13","RUTG","R_1.5",41.335792,-74.487986,NA,"","","7/11/2018","10:09:00","7/11/2018 10:09","Heitzman,Lojpersberger,Other,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",22.9,479.9,8,5.44,64.2,0.23,"C","B",6,2,5,3,1,0,0,"Water_Clarity","Periphyton","Relatively nice site w/good access.",-74.487986,41.335792
"N","N","13-SWAK-1.7","B_13","SWAK","R_1.7",41.83241819,-74.03169922,NA,"","","10/3/2018","10:16","10/3/2018 10:16","Lojpersberger,Lemley,Other","WALLKILL","",NA,"","","13-SWAK-1.7-100318-R","13-SWAK-1.7-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",15.6,148.6,7.07,8.73,88.4,0.07,"B","A",4,0,1,0,0,0,0,"Water_Clarity","Other","Default coordinates incorrect? Very high flow. Used reach pole for grab sample.",-74.03169922,41.83241819
"N","N","13-SWAK-1.7","B_13","SWAK","R_1.7",41.843302,-74.037419,NA,"","","9/5/2018","10:07:00","9/5/2018 10:07","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-SWAK-1.7-090518-R","13-SWAK-1.7-090518-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",23.3,286,7.8,7,84,0.14,"B","A",2,0,4,1,0,1,0,"Periphyton","None","",-74.037419,41.843302
"N","N","13-SWAK-1.7","B_13","SWAK","R_1.7",41.843302,-74.037419,NA,"","","8/14/2018","8:54:00","8/14/2018 8:54","Stoll,Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","DUP","Waded","Depth_Integrated","N",22.3,264.8,7.64,8.23,96,0.13,"C","B",4,0,2,1,0,0,0,"Water_Clarity","Other","Proximity to road and homes.",-74.037419,41.843302
"N","N","13-SWAK-1.7","B_13","SWAK","R_1.7",41.843302,-74.037419,NA,"","","7/24/2018","10:10:00","7/24/2018 10:10","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",24.2,339.8,7.75,7.8,93,0.16,"A","A",0,0,1,1,0,0,0,"Macrophyte","None","",-74.037419,41.843302
"N","N","13-SWAK-1.7","B_13","SWAK","R_1.7",41.84395784,-74.03726589,NA,"","","7/10/2018","12:12:00","7/10/2018 12:12","Heitzman,Lojpersberger,Wright,Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",22.4,278.4,7.9,7.3,86,0.13,"B","B",1,0,5,0,0,1,0,"Trash","Other","Secondary variable: Bridge overhead with several homes nearby.

Canopy 80%

.795 CFS for flow
",-74.03726589,41.84395784
"N","N","13-TINW-0.5","B_13","TINW","R_0.5",41.573251,-74.18353,NA,"","","10/2/2018","0.435416667","10/2/2018 10:27","Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",15.3,287.6,8.04,8.5,85,0.14,"D","B",7,0,3,2,0,2,0,"Water_Clarity","Other","Really mucky. EV fell in. ",-74.18353,41.573251
"N","N","13-TINW-0.5","B_13","TINW","R_0.5",41.573251,-74.18353,NA,"","","9/6/2018","8:24","9/6/2018 8:24","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","EB_FB","Waded","Depth_Integrated","N",23.6,461.2,7.69,10.2,121,0.22,"C","C",1,0,2,0,0,2,0,"Other","","Bottom sediment mucky",-74.18353,41.573251
"N","N","13-TINW-0.5","B_13","TINW","R_0.5",41.573251,-74.18353,NA,"","","8/15/2018","10:25:00","8/15/2018 10:25","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",21.6,627,7.56,10.3,118,0.31,"C","C",7,0,5,2,0,1,0,"Water_Clarity","Other","",-74.18353,41.573251
"N","N","13-TINW-0.5","B_13","TINW","R_0.5",41.573251,-74.18353,NA,"","","7/24/2018","11:25 AM","7/24/2018 11:25","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Rain","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",23,468.5,8.03,7.6,89,NA,"E","D",8,0,3,1,0,4,0,"Water_Clarity","Trash","",-74.18353,41.573251
"N","N","13-TINW-0.5","B_13","TINW","R_0.5",41.573251,-74.18353,NA,"","","7/10/2018","9:24 AM","7/10/2018 9:24","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",20.5,948,7.52,6.9,78,0.47,"C","C",2,0,1,0,3,3,1,"Trash","Other","Very mucky. After this site (and the next), recalibrated conductivity. ",-74.18353,41.573251
"N","N","13-WALK-60.1","B_13","WALK","R_60.1",41.28779112,-74.5342809,NA,"","","10/3/2018","13:34","10/3/2018 13:34","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-WALK-60.1-100318-R","13-WALK-60.1-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",17.6,241.2,7.28,7.18,76,0.11,"B","A",6,0,1,0,0,0,0,"Water_Clarity","None","Very high flow. Grab sample with pole.",-74.5342809,41.28779112
"N","N","13-WALK-60.1","B_13","WALK","R_60.1",41.28812,-74.53451,NA,"","","9/5/2018","14:36:00","9/5/2018 14:36","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-WALK-60.1-090518-R","13-WALK-60.1-090518-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",25.7,598,7.3,4.7,58,0.29,"C","A",8,1,NA,2,0,1,0,"Water_Clarity","None","Used mercury grab pole to take sample ",-74.53451,41.28812
"N","N","13-WALK-60.1","B_13","WALK","R_60.1",41.28797356,-74.53409683,NA,"","","8/16/2018","10:54:00","8/16/2018 10:54","Lojpersberger,Woltmann","WALLKILL","",NA,"","","","","Clouds","Clouds","X","MS","","Pail","N",22.8,298.1,6.97,3.84,46,0.14,"D","D",7,0,0,0,0,1,0,"Water_Clarity","None","Boat",-74.53409683,41.28797356
"N","N","13-WALK-60.1","B_13","WALK","R_60.1",41.28812,-74.53451,NA,"","","7/24/2018","14:34:00","7/24/2018 14:34","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Pail","N",24.1,469.4,7.44,5.8,67,0.23,"C","C",10,0,NA,4,0,0,0,"Water_Clarity","Water_Clarity","High water, hard to tell the natural bank location.",-74.53451,41.28812
"N","N","13-WALK-60.1","B_13","WALK","R_60.1",41.28812,-74.53451,NA,"","","7/11/2018","7:56:00","7/11/2018 7:56","Heitzman,Lojpersberger,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","MS","Waded","Bottle","N",25.3,623,7.82,6.78,83,0.3,"B","B",9,2,7,3,0,1,0,"Water_Clarity","Other","Secchi 0.2
Found a deep hole near Multiplates 9 ft or deeper 
Did spike QC here",-74.53451,41.28812
"N","N","13-WALK-46.6","B_13","WALK","R_46.6",41.41229151,-74.3776269,NA,"","","10/4/2018","9:24","10/4/2018 9:24","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-WALK-46.6-100418-R","13-WALK-46.6-100418-S","Clouds","Rain","X","EB_FB","Waded","Bottle","N",17.3,284.4,7.35,7.18,74.5,0.14,"D","C",4,0,NA,0,0,1,4,"Discharge/Pipes","Water_Clarity","Very high flow. Sampled with pole. Stp outfall under bridge. ",-74.3776269,41.41229151
"N","N","13-WALK-46.6","B_13","WALK","R_46.6",41.41217,-74.37774,NA,"","","9/6/2018","10:06:00","9/6/2018 10:06","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-WALK-46.6-090618-R","13-WALK-46.6-090618-S","Sun","Sun","X","Not_Sampled","Bridge","Pail","N",24.3,575,7.6,7.6,92,0.28,"D","C",7,1,3,0,1,2,0,"Water_Clarity","Other","Bridge too high- access quite difficult ",-74.37774,41.41217
"N","N","13-WALK-46.6","B_13","WALK","R_46.6",41.41217,-74.37774,NA,"","","8/15/2018","10:15:00","8/15/2018 10:15","Stoll,Other","WALLKILL","",NA,"","","","","Sun","Clouds","X","","Bridge","Pail","N",21.7,325,7.27,7.13,82.1,0.16,"C","C",10,0,0,0,0,0,10,"Discharge/Pipes","Water_Clarity","Other-proximity to construction site.",-74.37774,41.41217
"N","N","13-WALK-46.6","B_13","WALK","R_46.6",41.41217,-74.37774,NA,"","","7/25/2018","10:21:00","7/25/2018 10:21","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Clouds","X","Not_Sampled","Bridge","Pail","N",24,440,7.45,6.9,82,0.21,"D","D",10,NA,NA,NA,0,2,1,"Water_Clarity","Water_Clarity","Grabbed sample and ysi from rd bridge due to flow and bank conditions ",-74.37774,41.41217
"N","N","13-WALK-46.6","B_13","WALK","R_46.6",41.41217,-74.37774,NA,"","","7/11/2018","14:31:00","7/11/2018 14:31","Heitzman,Lojpersberger,Other,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",25.1,663,7.8,7.6,94,0.32,"D","C",8,3,8,1,2,2,7,"Odor","Water_Clarity","Difficult access. Sample collected 20m downstream of stp discharge. Bring kemmerer at higher flows.",-74.37774,41.41217
"N","N","13-WALK-44.4","B_13","WALK","R_44.4",41.43979769,-74.36680008,NA,"","","10/4/2018","8:18","10/4/2018 8:18","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-WALK-44.4-100418-R","13-WALK-44.4-100418-S","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",17.4,294.1,7.32,7.51,79,0.14,"C","B",5,0,1,0,0,0,0,"Water_Clarity","None","Very high flow. Sampled with pole.",-74.36680008,41.43979769
"N","N","13-WALK-44.4","B_13","WALK","R_44.4",41.438788,-74.365652,NA,"","","9/6/2018","7:58:00","9/6/2018 7:58","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-WALK-44.4-090618-R","13-WALK-44.4-090618-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",24.4,580,7.6,7.2,87,0.28,"B","A",5,0,3,0,1,2,0,"Water_Clarity","None","Rooster here again!",-74.365652,41.438788
"N","N","13-WALK-44.4","B_13","WALK","R_44.4",41.438788,-74.365652,NA,"","","8/15/2018","8:15:00","8/15/2018 8:15","Other,Stoll","WALLKILL","",NA,"","","","","Sun","Clouds","X","Not_Sampled","Waded","Pail","N",21.9,350.2,7.39,6.74,78,0.17,"C","C",10,0,1,0,0,3,0,"Water_Clarity","Water_Clarity","",-74.365652,41.438788
"N","N","13-WALK-44.4","B_13","WALK","R_44.4",41.438788,-74.365652,NA,"","","7/25/2018","7:53:00","7/25/2018 7:53","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Clouds","X","Not_Sampled","Waded","Pail","N",24,423.5,7.53,6.5,79,0.2,"D","D",10,NA,NA,0,0,2,0,"Water_Clarity","Water_Clarity","Grabbed near usgs gauge.",-74.365652,41.438788
"N","N","13-WALK-44.4","B_13","WALK","R_44.4",41.438788,-74.365652,NA,"","","7/11/2018","16:50:00","7/11/2018 16:50","Heitzman,Other,Lojpersberger,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","EB_FB","Waded","Bottle","N",26.7,702,8.3,12.8,163,0.34,"C","B",2,2,7,0,2,0,0,"Periphyton","Periphyton","Nice site but fair amount of periphyton. Good access at usgs gauging station.",-74.365652,41.438788
"N","N","13-WALK-35.6","B_13","WALK","R_35.6",41.5025,-74.26334,NA,"","","10/3/2018","0.661805556","10/3/2018 15:53","Other","WALLKILL","",NA,"","","","","","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",17.5,383.3,7.71,6.5,68,0.18,"F","A",8,1,2,1,0,1,0,"Other","","High flows",-74.26334,41.5025
"N","N","13-WALK-35.6","B_13","WALK","R_35.6",41.5025,-74.26334,NA,"","","9/5/2018","15:11","9/5/2018 15:11","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",25.4,627,7.74,8.2,100,0.3,"C","A",3,0,4,2,0,2,0,"Water_Clarity","","Small fish",-74.26334,41.5025
"N","N","13-WALK-35.6","B_13","WALK","R_35.6",41.5025,-74.2633,NA,"","","8/16/2018","15:05","8/16/2018 15:05","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",23.8,362.7,7.43,6.4,77,0.17,"F","C",9,0,6,3,0,0,0,"Other","Water_Clarity","High flows, lots of clay-y sediment",-74.2633,41.5025
"N","N","13-WALK-35.6","B_13","WALK","R_35.6",41.5025,-74.26334,NA,"","","7/25/2018","4:30 PM","7/25/2018 16:30","Emily Vail, Megan Lung","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",24.6,668,7.89,6.4,78,NA,"F","B",9,0,3,0,0,3,0,"Water_Clarity","Other","Secondary Variable influencing user perception high flows.",-74.26334,41.5025
"N","N","13-WALK-35.6","B_13","WALK","R_35.6",41.5025,-74.26334,NA,"","","7/11/2018","3:13 PM","7/11/2018 15:13","Emily Vail & Alex Curtze","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",27.9,753,8.33,12.8,165,0.36,"B","B",1,2,4,2,0,0,0,"Periphyton","Other","",-74.26334,41.5025
"N","N","13-WALK-29.9","B_13","WALK","R_29.9",41.54217,-74.20946,NA,"","","10/2/2018","0.397916667","10/2/2018 9:33","Other","WALLKILL","",NA,"","","","","Rain","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",15.6,401.9,8.39,7.6,77,0.19,"F","B",10,0,3,2,0,0,0,"Water_Clarity","Other","High flows",-74.20946,41.54217
"N","N","13-WALK-29.9","B_13","WALK","R_29.9",41.54217,-74.20946,NA,"","","9/5/2018","16:23","9/5/2018 16:23","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","DUP","","Depth_Integrated","N",26.8,605,7.88,13.1,161,0.29,"B","A",2,0,3,2,1,0,0,"Odor","Other","Foam. Group of youth swimming and fishing when we arrived. ",-74.20946,41.54217
"N","N","13-WALK-29.9","B_13","WALK","R_29.9",41.54217,-74.20946,NA,"","","8/15/2018","9:25:00","8/15/2018 9:25","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",21.7,822,8.36,9.9,116,0.4,"C","C",10,0,4,2,0,0,0,"Water_Clarity","Other","High water",-74.20946,41.54217
"N","N","13-WALK-29.9","B_13","WALK","R_29.9",41.54217,-74.20946,NA,"","","7/24/2018","9:40 AM","7/24/2018 9:40","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Rain","Rain","X","EB_FB","Waded","Depth_Integrated","N",24.3,790,8.15,7.2,86,NA,"B","B",9,0,3,1,0,0,0,"Water_Clarity","Other","Secondary Variable influencing user perception high flows.",-74.20946,41.54217
"N","N","13-WALK-29.9","B_13","WALK","R_29.9",41.54217,-74.20946,NA,"","","7/11/2018","3:54 PM","7/11/2018 15:54","Emily Vail & Alex Curtze","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",30.6,686,9.09,19,251,0.33,"C","B",3,0,3,0,0,0,0,"Other","None","Very low flow and warm water",-74.20946,41.54217
"N","N","13-WALK-26.9","B_13","WALK","R_26.9",41.5763,-74.1907167,NA,"","","10/2/2018","0.464583333","10/2/2018 11:09","Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",15.4,295,8.03,9.5,96,0.14,"F","B",8,0,3,2,0,0,0,"Water_Clarity","Other","High flows",-74.1907167,41.5763
"N","N","13-WALK-26.9","B_13","WALK","R_26.9",41.5763,-74.1907167,NA,"","","9/6/2018","9:09","9/6/2018 9:09","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",24,501.1,7.88,11.2,134,0.24,"A","A",1,0,3,1,0,0,0,"None","None","Green heron ",-74.1907167,41.5763
"N","N","13-WALK-26.9","B_13","WALK","R_26.9",41.5763,-74.1907167,NA,"","","8/15/2018","11:11:00","8/15/2018 11:11","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",21.9,626,8.33,11.5,134,0.3,"D","D",10,0,4,2,0,0,0,"Other","Water_Clarity","Very high water",-74.1907167,41.5763
"N","N","13-WALK-26.9","B_13","WALK","R_26.9",41.5763,-74.1907167,NA,"","","7/24/2018","12:15 PM","7/24/2018 12:15","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",23.2,550,8.07,9.1,107,NA,"A","A",8,0,5,2,0,0,0,"Water_Clarity","Other","Secondary Variable influencing user perception high flows.",-74.1907167,41.5763
"N","N","13-WALK-26.9","B_13","WALK","R_26.9",41.5763,-74.1907167,NA,"","","7/10/2018","10:43 AM","7/10/2018 10:43","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",24.7,1142,8.03,7.2,89,0.56,"B","B",3,0,6,1,0,0,0,"Other","Other","Foam. Unsure about conductivity calibration, recalibrated after this site",-74.1907167,41.5763
"N","N","13-WALK-22.8","B_13","WALK","R_22.8",41.635,-74.18889,NA,"","","10/2/2018","0.545138889","10/2/2018 13:05","Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",15.9,388.9,8.05,9.3,94,0.19,"F","B",9,0,3,3,0,6,0,"Water_Clarity","Other","High flows",-74.18889,41.635
"N","N","13-WALK-22.8","B_13","WALK","R_22.8",41.635,-74.18889,NA,"","","9/6/2018","11:02","9/6/2018 11:02","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",26.3,617,8.22,12.4,155,0.3,"A","A",NA,1,4,3,0,5,0,"Trash","Macrophyte","",-74.18889,41.635
"N","N","13-WALK-22.8","B_13","WALK","R_22.8",41.635,-74.18889,NA,"","","8/15/2018","13:48:00","8/15/2018 13:48","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",23.3,440.5,8.56,8.2,97,0.21,"C","C",8,0,4,2,3,8,0,"Odor","Trash","",-74.18889,41.635
"N","N","13-WALK-22.8","B_13","WALK","R_22.8",41.635,-74.18889,NA,"","","7/24/2018","2:40 PM","7/24/2018 14:40","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",26.2,939,8.2,9.4,118,NA,"D","B",7,0,4,3,0,7,0,"Water_Clarity","Trash","",-74.18889,41.635
"N","N","13-WALK-22.8","B_13","WALK","R_22.8",41.635,-74.18889,NA,"","","7/10/2018","1:25 PM","7/10/2018 13:25","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",30.2,547,8.68,10.5,138,0.26,"B","B",4,0,5,5,0,4,0,"Periphyton","Macrophyte","",-74.18889,41.635
"N","N","13-WALK-19.0","B_13","WALK","R_19.0",41.68639,-74.16442,NA,"","","10/2/2018","0.611805556","10/2/2018 14:41","Other","WALLKILL","",NA,"","","","","Rain","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",16,384.2,8.07,9,91,0.19,"","A",9,0,2,2,0,0,0,"Water_Clarity","Other","High flow",-74.16442,41.68639
"N","N","13-WALK-19.0","B_13","WALK","R_19.0",41.68639,-74.16442,NA,"","","9/6/2018","12:11","9/6/2018 12:11","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",27.4,597,8.5,15.5,197,0.29,"A","A",1,1,4,3,0,0,0,"Other","","Swift current ",-74.16442,41.68639
"N","N","13-WALK-19.0","B_13","WALK","R_19.0",41.68639,-74.16442,NA,"","","8/15/2018","15:15:00","8/15/2018 15:15","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",24.2,442.4,NA,8.3,100,0.21,"F","B",8,0,4,2,1,0,0,"Water_Clarity","","High flows",-74.16442,41.68639
"N","N","13-WALK-19.0","B_13","WALK","R_19.0",41.68639,-74.16442,NA,"","","7/24/2018","4:00 PM","7/24/2018 16:00","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",27.2,663,8.66,11.7,147,NA,"F","A",8,0,4,4,0,0,0,"Water_Clarity","Other","Secondary Variable influencing user perception high flows.",-74.16442,41.68639
"N","N","13-WALK-19.0","B_13","WALK","R_19.0",41.68639,-74.16442,NA,"","","7/10/2018","3:34 PM","7/10/2018 15:34","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",32.3,700,8.55,13,181,0.34,"C","B",4,0,5,6,1,0,0,"Macrophyte","Periphyton","Foam, 2 dead fish (odor from fish)",-74.16442,41.68639
"N","N","13-WALK-9.8","B_13","WALK","R_9.8",41.7697125,-74.09275107,NA,"","","10/3/2018","11:35","10/3/2018 11:35","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-WALK-9.8-100318-R","13-WALK-9.8-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",16.6,326.4,7.6,8.11,82.9,0.16,"B","A",5,0,1,0,0,0,0,"Water_Clarity","None","High flow. Used pole for grab sample. ",-74.09275107,41.7697125
"N","N","13-WALK-9.8","B_13","WALK","R_9.8",41.765737,-74.092973,NA,"","","9/5/2018","11:37:00","9/5/2018 11:37","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-WALK-9.8-090518-R","13-WALK-9.8-090518-S","Sun","Sun","X","Not_Sampled,DUP","Waded","Bottle","N",26.6,530,7.8,5.5,69,0.25,"C","A",8,1,2,0,0,2,0,"Water_Clarity","None","Took sample with mercury grab pole, sample just above Klein kill mouth",-74.092973,41.765737
"N","N","13-WALK-9.8","B_13","WALK","R_9.8",41.76678005,-74.09267982,NA,"","","8/16/2018","13:44:00","8/16/2018 13:44","Lojpersberger,Woltmann","WALLKILL","",NA,"","","","","Sun","Clouds","X","Not_Sampled","","Pail","N",24,339.4,7.21,7.42,88,0.16,"F","F",8,0,0,0,0,4,1,"Water_Clarity","Trash",".12 secchi -boat",-74.09267982,41.76678005
"N","X","13-WALK-9.8","B_13","WALK","R_9.8",41.765737,-74.092973,NA,"","Down stream of private swimming dock on left bank","7/10/2018","15:01:00","7/10/2018 15:01","Lojpersberger","WALLKILL","",NA,"","","","","Clouds","","X","Not_Sampled","","Depth_Integrated","N",27.6,587,9.05,14.63,180,0.28,"D","B",8,NA,NA,NA,0,0,NA,"Water_Clarity","Other","Depth 1.7 
Secchi .3

Some surface scum",-74.092973,41.765737
"N","N","13-WALK-2.1","B_13","WALK","R_2.1",41.82413348,-74.04564318,NA,"","","10/3/2018","9:51","10/3/2018 9:51","Lojpersberger,Lemley,Other","WALLKILL","",0,"","","13-WALK-2.1-100318-R","13-WALK-2.1-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",16.2,308,7.62,8.84,90,0.15,"C","B",5,0,1,0,0,0,0,"Water_Clarity","None","High flow. Used reach pole for grab sample.",-74.04564318,41.82413348
"N","N","13-WALK-2.1","B_13","WALK","R_2.1",41.825296,-74.047202,NA,"","","9/5/2018","9:31:00","9/5/2018 9:31","Heitzman,Lojpersberger,Woltmann","WALLKILL","",0,"","","13-WALK-2.1-090518-R","13-WALK-2.1-090518-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",25.6,479,8.4,6.2,75,0.23,"B","A",6,1,NA,0,1,2,0,"Water_Clarity","None","Sampled from shore with mercury grab pole",-74.047202,41.825296
"N","N","13-WALK-2.1","B_13","WALK","R_2.1",41.825296,-74.047202,NA,"","","8/16/2018","15:52:00","8/16/2018 15:52","Lojpersberger,Woltmann","WALLKILL","",NA,"","","","","Sun","Clouds","X","EB_FB","","Pail","N",24.8,359.5,7.37,6.89,83.6,0.17,"F","F",8,4,0,0,0,3,0,"Water_Clarity","Water_Clarity","Access along highway.  Busy road.  Heavy rain past 48-72hrs. High flow",-74.047202,41.825296
"N","N","13-WALK-2.1","B_13","WALK","R_2.1",41.825296,-74.047202,NA,"","","7/24/2018","9:39:00","7/24/2018 9:39","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",25.6,670,8.26,5.5,68,0.32,"D","C",10,4,3,1,0,4,0,"Water_Clarity","Suspended_Phytoplankton","20 m downstream normal sampling site ",-74.047202,41.825296
"N","N","13-WALK-2.1","B_13","WALK","R_2.1",41.825296,-74.047202,NA,"","","7/10/2018","9:16:00","7/10/2018 9:16","Heitzman,Lojpersberger,Wright,Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",27.3,537,7.92,4.9,62.8,0.26,"D","C",8,8,7,0,1,1,0,"Water_Clarity","Suspended_Phytoplankton","Slow flow, murky & debris due to trees, macrophytes indeterminate. Secchi disk 0.28. Boat site",-74.047202,41.825296
"N","N","13-WALK-0.8","B_13","WALK","R_0.8",41.84881,-74.04101,NA,"","","10/3/2018","9:07","10/3/2018 9:07","Lojpersberger,Lemley,Other","WALLKILL","",0,"","","13-WALK-0.8-100318-R","13-WALK-0.8-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",16.4,277.9,7.7,6.83,69.3,0.13,"B","A",4,0,3,0,1,0,1,"None","None","Benthic algae by shore. Used reach pole for grab sample.",-74.04101,41.84881
